racha_actual,puntaje_estrategia,payout,ret_1m,ret_3m,ret_5m,slope_5m,rv_20,range_norm,bb_z,body_ratio,wick_imbalance,micro_trend_persist,close_0,close_1,close_2,close_3,close_4,close_5,close_6,close_7,close_8,close_9,close_10,close_11,close_12,close_13,close_14,close_15,close_16,close_17,close_18,close_19,row_has_proxy_features,row_train_eligible,result_bin
0.0,0.24839827478006957,0.95,-0.5012,0.07659999999999996,-0.15452000000000002,0.0153565439834313,0.03679074016379391,0.13144804895112322,-0.42514285714285727,0.5012,-0.8562857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1
-3.0,0.313975347655226,0.9537500000000001,0.6536000000000002,0.5625999999999999,0.599,0.015413065825230991,0.03699911988043014,0.18195796537334963,0.010285714285714675,0.6536000000000002,-0.6574285714285714,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1
1.0,0.3067961677405896,0.95,0.6469999999999999,0.555,0.5918,0.01530945325297421,0.03661773250239919,0.18020099874504514,-0.008571428571428896,0.6469999999999999,-0.7221428571428572,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
-3.0,0.2653508215030757,0.9524999999999999,-0.3996,-0.1436,-0.246,0.03566843450023356,0.07518291268799726,0.17946247881610589,-0.7154285714285714,0.3996,-0.8388571428571429,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
-3.0,0.31961772391823423,0.9524999999999999,-0.4108,-0.15099999999999994,-0.25492,0.03575585962045155,0.07575070644518445,0.18151744772321324,-0.6834285714285715,0.4108,-0.8308571428571428,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
1.0,0.22495022792414562,0.95,-0.3726,-0.3736,-0.3732,0.02350160994616335,0.07736730468656239,0.1976772184214253,-0.6269,0.3726,-0.876725,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
1.0,0.30982481439558873,0.95,0.5880000000000001,0.5162,0.5449200000000001,0.019787371203121792,0.05587211962698069,0.20100730974358763,-0.17714285714285682,0.5880000000000001,-0.7642857142857142,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1
-1.0,0.3731313707313508,0.9550000000000001,-0.4874,-0.5774,-0.5414000000000001,0.035434891694254116,0.0736846430311997,0.2188623471169221,-0.2074285714285714,0.4874,-0.7718571428571428,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
-4.0,0.32774761533063146,0.9524999999999999,-0.47740000000000005,-0.574,-0.5353600000000001,0.022879183358502773,0.07333118711398423,0.21743244524437977,-0.2171428571428572,0.47740000000000005,-0.6842857142857143,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
-4.0,0.3271827662176076,0.9524999999999999,-0.4738,-0.5728,-0.5332,0.022859767222011825,0.07320834949071531,0.216923940752527,-0.22057142857142853,0.4738,-0.6851428571428572,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
-1.0,0.332793607085629,0.9550000000000001,0.4930000000000001,0.4947999999999999,0.49407999999999996,0.03295321652395687,0.05929932905471247,0.1962320822289122,-0.4434285714285717,0.4930000000000001,-0.830857142857143,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
