racha_actual,puntaje_estrategia,payout,ret_1m,ret_3m,ret_5m,slope_5m,rv_20,range_norm,bb_z,body_ratio,wick_imbalance,micro_trend_persist,ts_ingest,result_bin
-9.0,0.16608726551260589,0.9550000000000001,-0.0002265457864715,-0.0004423745289001,-0.0006815004774123,-0.0001799868131402,0.0003345338726997,0.0004632178055659,-2.072845757908737,0.8228520814881196,0.1771479185118803,-0.2,1773789683.2953832,0
2.0,0.16369334010994924,0.95,-8.841151241262496e-05,0.0001367602223124,0.0001295613833041,2.025360807232065e-05,0.0001338051116883,0.000188148108546,-0.4507984028828058,0.6393442622951472,-0.2950819672116156,-0.1052631578947368,1773789689.9691064,0
-9.0,0.16604623043655395,0.9550000000000001,-0.0002252370837644,-0.0004410661087127,-0.0006801923702406,-0.0001797250775602,0.0003344873593883,0.0004631483046074,-2.071258337645307,0.8218703612074052,0.1781296387925948,-0.2,1773789690.0723264,0
4.0,0.15227407194868017,0.95,-0.0001418773952618,-0.0003577244157036,-0.0005968706152129,-0.0001630537381372,0.0003320709760534,0.0004614489775542,-1.9679459010730291,0.5411764705880007,-0.0476299257571638,-0.2,1773789690.1535294,0
2.0,0.10877453055268076,0.95,-0.0006557775612929,-0.0015336227088274,-0.0022011882061269,-0.0003476711505071,0.0007859410406108,0.0011466646813834,-2.1640373914229976,0.7940801119755798,0.2059198880244202,-0.2,1773789696.8073518,0
1.0,0.20612675923108523,0.95,-0.0001161686151466,0.0001089968689108,0.000101798229739,1.4701939257777327e-05,0.0001384787754715,0.000210394061909,-0.9945864103144256,0.786885245900955,-0.1475409836058078,-0.2,1773789711.8149292,1
-10.0,0.13106621953520883,0.95,0.0001630570217583,0.0001661340804582,-0.0001835037320967,-5.5678179711101744e-05,0.0001542083071935,0.0002066347398275,0.313633718278726,0.8695652173918939,-0.1304347826081061,0.2,1773789777.3742568,1
-10.0,0.13113210472573913,0.95,0.0001722866644994,0.0001753637515947,-0.0001742772874661,-5.383239483814168e-05,0.0001547355878098,0.0002071185199844,0.3673416837922277,0.8764705882358605,-0.1235294117641394,0.2,1773789782.1964874,1
-1.0,0.11230334418985859,0.95,0.0001825418231004,0.0001856189417463,-0.0001640256823212,-5.1781530748191766e-05,0.0001553532075759,0.0002076560430202,0.4268191681976784,0.8833333333337713,-0.1166666666662287,0.2,1773789785.3631308,1
-1.0,0.11230334418985859,0.95,0.0001825418231004,0.0001856189417463,-0.0001640256823212,-5.1781530748191766e-05,0.0001551001805913,0.0001845591650542,0.2134095840988392,0.8833333333337713,-0.1166666666662287,0.0526315789473684,1773789785.450121,1
